alt,density,pressure,temperature,windsE,windsN,windsV
18078.07808,0.114049399,7259.947447,221.8164264,6.938228228,4.419039039,0
18218.21822,0.111244745,7092.866466,222.1719019,6.751781782,4.504574575,0
18358.35836,0.10852952,6929.637738,222.4883884,6.623313313,4.622522523,0
18498.4985,0.105878228,6769.802703,222.7966967,6.530900901,4.768348348,0
18638.63864,0.103318368,6614.152052,223.0695495,6.506136136,4.961821822,0
18778.77878,0.100841371,6461.74014,223.2981682,6.555145145,5.178168168,0
18918.91892,0.098426081,6312.135135,223.4845946,6.736486486,5.414054054,0
19059.05906,0.096072257,6165.991992,223.6608709,6.944494494,5.672212212,0
19199.1992,0.093770085,6022.913614,223.838959,7.178638639,5.968238238,0
19339.33934,0.091532012,5883.211411,223.9932733,7.46048048,6.28048048,0
19479.47948,0.089345658,5745.748549,224.1076877,7.854334334,6.610750751,0
19619.61962,0.087216864,5610.92022,224.2017718,8.316706707,6.972972973,0
19759.75976,0.085143922,5479.163664,224.2798799,8.799159159,7.363303303,0
19899.8999,0.083111445,5349.991892,224.3499499,9.28964965,7.76970971,0
20040.04004,0.081131641,5223.503804,224.395996,9.834184184,8.23014014,0
20180.18018,0.079191523,5098.1,224.381982,10.48684685,8.744684685,0
20320.32032,0.077289927,4975.263564,224.367968,11.1816016,9.305345345,0
20460.46046,0.075430736,4854.927227,224.3479079,11.89439439,9.906026026,0
20600.6006,0.07360633,4736.696096,224.3195796,12.62348348,10.56306306,0
20740.74074,0.071825704,4619.444444,224.2133333,13.44444444,11.29,0
20880.88088,0.070080695,4503.877678,224.071031,14.30146146,12.07910911,0
21021.02102,0.068372538,4390.525225,223.8926727,15.17033033,12.92243243,0
21161.16116,0.066699852,4279.305005,223.7043744,16.0391992,13.81143143,0
21301.3013,0.065058022,4169.287588,223.4773974,16.90793794,14.71845846,0
21441.44144,0.063451225,4060.672973,223.192973,17.75864865,15.6418018,0
21581.58158,0.06187147,3953.861161,222.8905205,18.57501502,16.60291291,0
21721.72172,0.06032345,3849.291091,222.5822122,19.35512513,17.59205205,0
21861.86186,0.058806604,3746.564565,222.2615315,20.07312312,18.58540541,0
22002.002,0.057317119,3644.974575,221.8843944,20.66740741,19.54401401,0
22142.14214,0.055863043,3545.616216,221.4835736,21.16064064,20.51235235,0
22282.28228,0.054438949,3448.142943,221.0631532,21.57039039,21.47597598,0
22422.42242,0.053045036,3352.876977,220.6327327,21.90708709,22.4391992,0
22562.56256,0.051687153,3259.421021,220.1497497,22.08876877,23.32783784,0
22702.7027,0.050364,3167.767568,219.6091892,22.10891892,24.11405405,0
22842.84284,0.049073702,3078.451852,219.0486286,22.04001001,24.85563564,0
22982.98298,0.047816941,2991.465465,218.4963664,21.88382382,25.51023023,0
23123.12312,0.046606147,2907.672973,217.9428829,21.60294294,25.94624625,0
23263.26326,0.04542865,2826.386887,217.3606206,21.17755756,26.21387387,0
23403.4034,0.044276569,2747.124725,216.7867267,20.71808809,26.44578579,0
23543.54354,0.043152264,2670.386486,216.2445345,20.21888889,26.68402402,0
23683.68368,0.04205043,2595.547648,215.7287387,19.68363363,26.94736737,0
23823.82382,0.040980036,2523.316617,215.2266166,19.03611612,27.12905906,0
23963.96396,0.039940865,2453.465766,214.7425225,18.2881982,27.24756757,0
24104.1041,0.038924902,2385.562863,214.2664565,17.47455455,27.38492492,0
24244.24424,0.037937503,2319.859159,213.803994,16.60126126,27.54866867,0
24384.38438,0.036975342,2256.127027,213.34997,15.66774775,27.69438438,0
24524.52452,0.036048836,2195.052553,212.9413313,14.61870871,27.74735736,0
24664.66466,0.035149673,2135.999499,212.536006,13.51268268,27.77,0
24804.8048,0.034275835,2078.687688,212.1260661,12.36963964,27.78,0
24944.94494,0.033430578,2023.316416,211.7241542,11.17448448,27.78449449,0
25085.08509,0.032614612,1971.014114,211.4253554,9.992302302,27.63684685,0
25225.22523,0.031826757,1921.446847,211.2071171,8.855765766,27.38702703,0
25365.36537,0.031060373,1873.341141,210.9884885,7.783223223,27.07965966,0
25505.50551,0.030313316,1826.710711,210.7928428,6.772012012,26.70293293,0
25645.64565,0.029588207,1781.667267,210.6243544,5.900900901,26.19546547,0
25785.78579,0.028881213,1738.34955,210.5099499,5.211071071,25.55396396,0
25925.92593,0.028194037,1696.403704,210.417037,4.588518519,24.81740741,0
26066.06607,0.027523186,1655.739039,210.3535736,4.051981982,23.96735736,0
26206.20621,0.026867576,1616.099499,210.32,3.608208208,22.99972973,0
26346.34635,0.026229441,1578.025526,210.3339039,3.36974975,21.85069069,0
26486.48649,0.02560573,1541.040541,210.3845946,3.239459459,20.60432432,0
26626.62663,0.024999304,1505.116717,210.4586386,3.190650651,19.24775776,0
26766.76677,0.024406247,1470.275375,210.5634134,3.253383383,17.7555956,0
26906.90691,0.023829165,1436.576877,210.6882883,3.313813814,16.28780781,0
27047.04705,0.023266753,1403.879179,210.8611612,3.612912913,14.59191191,0
27187.18719,0.022714226,1371.995696,211.0520621,3.957967968,12.83144144,0
27327.32733,0.022174429,1340.842643,211.2764565,4.356516517,10.98654655,0
27467.46747,0.021645997,1310.561962,211.5281882,4.775895896,9.095695696,0
27607.60761,0.021146449,1282.216517,211.839019,10.92054054,-8.649459459,0
27747.74775,0.020660703,1255.08018,212.1989189,11.2654955,-8.309279279,0
27887.88789,0.020188454,1228.752853,212.5772973,11.51062062,-8.113323323,0
28028.02803,0.019732871,1203.339039,212.9712813,11.63121121,-8.065605606,0
28168.16817,0.019296769,1179.011411,213.3640541,11.68045045,-8.359489489,0
28308.30831,0.01887249,1155.537437,213.7649249,11.62501502,-8.618278278,0
28448.44845,0.018462468,1132.796697,214.1853453,11.53608609,-8.955655656,0
28588.58859,0.018065066,1110.78018,214.6057658,11.42027027,-9.427777778,0
28728.72873,0.017685018,1089.705606,215.0175676,11.28425425,-10.10397397,0
28868.86887,0.01732063,1069.382883,215.4097197,11.18047047,-10.96811812,0
29009.00901,0.016965838,1049.674775,215.8152252,10.99918919,-11.79945946,0
29149.14915,0.016625025,1030.763163,216.2076176,10.83593594,-12.7637037,0
29289.28929,0.016297742,1012.481682,216.5821522,10.70856857,-13.84538539,0
29429.42943,0.01598555,994.889009,216.9365165,10.63234234,-15.04015015,0
29569.56957,0.015682817,977.9094795,217.286967,10.54825826,-16.25916917,0
29709.70971,0.015391386,961.495035,217.6323323,10.47417417,-17.5303003,0
29849.84985,0.015110796,945.6866667,217.9596396,10.39009009,-18.84357357,0
29989.98999,0.014839219,930.3740841,218.277978,10.30600601,-20.2019019,0
30130.13013,0.01459708,918.3450951,219.0487287,11.16488488,-19.87358358,0
30270.27027,0.014360946,906.6294595,219.8264865,12.12486486,-19.43216216,0
30410.41041,0.014130031,895.0021822,220.5841341,13.115996,-19.00980981,0
30550.55055,0.013903119,883.4799099,221.3027528,14.14407407,-18.61351351,0
30690.69069,0.013681616,872.0568468,221.9943844,15.19924925,-18.23513514,0
30830.83083,0.013464137,860.7604505,222.6618218,16.30972973,-17.87292292,0
30970.97097,0.013252544,849.592002,223.2993694,17.46615616,-17.52966967,0
31111.11111,0.013044889,838.5544444,223.9066667,18.66888889,-17.20555556,0
31251.25125,0.012843223,827.6785285,224.485005,19.93151151,-16.89724725,0
31391.39139,0.012646052,816.9468368,225.0364264,21.24821822,-16.59807808,0
31531.53153,0.012453748,806.3845946,225.5535135,22.62846847,-16.30693694,0
31671.67167,0.01226381,795.7656156,226.0436837,24.08688689,-15.98365365,0
31811.81181,0.012065582,784.500961,226.5077978,25.66701702,-15.5062963,0
31951.95195,0.011872865,773.4481381,226.9510511,27.30822823,-14.98777778,0
32092.09209,0.011686438,762.711001,227.3854855,29.01273273,-14.46005005,0
32232.23223,0.01150671,752.3399399,227.8034735,30.7857958,-13.92751752,0
32372.37237,0.011332982,742.2815616,228.2098799,32.62255255,-13.39498498,0
32512.51251,0.011164484,732.4653353,228.6025325,34.32997998,-12.83993994,0
32652.65265,0.01099229,722.279009,228.9668969,34.08995996,-12.17253253,0
32792.79279,0.010824577,712.2817117,229.321982,33.80513514,-11.52315315,0
32932.93293,0.010660127,702.4943343,229.6557457,33.44449449,-10.8818018,0
33073.07307,0.010499697,692.8764164,229.9780681,33.01616617,-10.25117117,0
33213.21321,0.010342465,683.4426426,230.2877477,32.51714715,-9.631861862,0
33353.35335,0.01018511,673.9025826,230.5873774,31.8978979,-8.972562563,0
33493.49349,0.010019743,663.8217217,230.8863363,31.14578579,-8.215785786,0
33633.63363,0.009856054,653.8321922,231.1906306,30.34156156,-7.451741742,0
33773.77377,0.009695941,644.0327227,231.4849249,29.50735736,-6.708998999,0
33913.91391,0.009539195,634.4208108,231.7792192,28.63095095,-5.969039039,0
34054.05405,0.009385905,625.0045946,232.0735135,27.72324324,-5.254324324,0
34194.19419,0.009235595,615.7514414,232.3583884,26.77947948,-4.549029029,0
34334.33433,0.00908873,606.696036,232.6386687,25.80279279,-3.855195195,0
34474.47447,0.008944736,597.8081081,232.9189489,24.77888889,-3.182522523,0
34614.61461,0.008803732,589.0826627,233.1977678,23.72600601,-2.522772773,0
34754.75475,0.008665814,580.5218619,233.464034,22.62196196,-1.883603604,0
34894.89489,0.008530506,572.1147748,233.7303003,21.48186186,-1.252972973,0
